N,Call price,serr,err
1000,5.37855,0.00526128,3.53749

5000,5.3771,0.00224259,3.53894

10000,5.37489,0.001545,3.54115

50000,5.37708,0.000696892,3.53895

100000,5.37834,0.00049108,3.5377

500000,5.37795,0.000217667,3.53809

1000000,5.37809,0.000154528,3.53794

