N,Call price,serr,err
1000,5.42425,0.129945,3.49179
5000,5.45831,0.0614634,3.45773
10000,5.39674,0.042774,3.5193
50000,5.4148,0.0192023,3.50124
100000,5.36877,0.013535,3.54727
500000,5.37546,0.00603751,3.54058
1000000,5.37781,0.0042773,3.53823
