N,Call price,serr,err
1000,8.69,0.214224,0.226038
5000,9.07895,0.107347,0.162914
10000,8.74812,0.0737191,0.167912
50000,8.9818,0.0334518,0.065761
100000,8.91493,0.0235852,0.0011029
500000,8.9204,0.0105295,0.00435818
1000000,8.90715,0.00743922,0.00888384
