N,Call price,serr,err
1000,9.08914,0.0569375,0.1731

5000,8.91912,0.0298357,0.00308703

10000,8.89167,0.0208387,0.0243688

50000,8.92411,0.00926753,0.00806789

100000,8.913,0.0065893,0.00303408

500000,8.91677,0.00292726,0.000728329

1000000,8.91472,0.00207073,0.00132162

